NODE_8_length_365747_cov_30.706770	365827
NODE_65_length_232825_cov_28.398987	232905
NODE_50_length_229538_cov_33.943893	229618
NODE_62_length_228187_cov_31.213015	228267
NODE_24_length_183490_cov_33.861900	183570
NODE_20_length_162131_cov_31.532131	162211
NODE_12_length_150956_cov_34.032539	151036
NODE_9_length_147318_cov_35.291134	147398
NODE_2_length_131582_cov_32.445091	131662
NODE_38_length_126128_cov_27.910463	126208
NODE_32_length_125889_cov_34.667255	125969
NODE_272_length_124067_cov_29.682688	124147
NODE_51_length_119849_cov_35.186775	119929
NODE_37_length_118686_cov_31.500683	118766
NODE_68_length_112488_cov_33.481758	112568
NODE_40_length_94378_cov_29.751797	94458
NODE_73_length_92223_cov_30.901575	92303
NODE_33_length_88199_cov_35.156715	88279
NODE_29_length_69120_cov_34.225491	69200
NODE_85_length_68259_cov_35.575867	68339
NODE_92_length_67918_cov_30.043936	67998
NODE_56_length_67543_cov_28.723154	67623
NODE_274_length_67134_cov_33.279114	67214
NODE_10_length_58968_cov_33.245014	59048
NODE_27_length_57971_cov_33.791431	58051
NODE_89_length_57594_cov_32.611904	57674
NODE_77_length_54625_cov_35.094772	54705
NODE_105_length_52108_cov_36.640938	52188
NODE_19_length_51124_cov_35.540470	51204
NODE_44_length_50436_cov_30.334345	50516
NODE_61_length_49182_cov_28.503679	49262
NODE_146_length_49104_cov_29.849279	49184
NODE_39_length_47743_cov_31.004272	47823
NODE_22_length_46087_cov_34.176491	46167
NODE_48_length_45056_cov_35.079990	45136
NODE_119_length_43243_cov_35.224476	43323
NODE_25_length_41249_cov_33.835876	41329
NODE_14_length_40439_cov_30.374317	40519
NODE_11_length_40200_cov_36.664974	40280
NODE_339_length_40116_cov_35.113297	40196
NODE_97_length_38147_cov_29.901644	38227
NODE_128_length_37991_cov_33.604801	38071
NODE_58_length_37116_cov_22.771124	37196
NODE_134_length_36108_cov_29.850975	36188
NODE_125_length_35050_cov_36.079514	35130
NODE_42_length_30990_cov_33.306389	31070
NODE_100_length_30962_cov_34.663296	31042
NODE_71_length_28994_cov_30.431572	29074
NODE_90_length_28863_cov_34.555592	28943
NODE_81_length_27922_cov_29.863585	28002
NODE_69_length_27006_cov_30.856401	27086
NODE_93_length_26816_cov_27.949993	26896
NODE_36_length_26553_cov_34.300945	26633
NODE_152_length_25893_cov_29.787935	25973
NODE_87_length_23354_cov_29.521582	23434
NODE_66_length_19308_cov_34.641598	19388
NODE_110_length_16432_cov_36.453808	16512
NODE_109_length_16347_cov_29.383862	16427
NODE_46_length_15945_cov_31.997492	16025
NODE_67_length_15863_cov_30.903927	15943
NODE_45_length_15484_cov_22.290623	15564
NODE_60_length_14859_cov_21.213203	14939
NODE_18_length_11320_cov_21.588428	11400
NODE_75_length_10843_cov_34.939316	10923
NODE_1_length_10147_cov_827.919983	10227
NODE_13_length_9396_cov_223.375793	9476
NODE_70_length_9280_cov_34.011852	9360
NODE_64_length_9232_cov_36.474762	9312
NODE_108_length_7792_cov_33.512062	7872
NODE_204_length_7277_cov_26.358664	7357
NODE_98_length_5602_cov_22.503035	5682
NODE_246_length_5254_cov_24.417206	5334
NODE_26_length_4704_cov_35.405186	4784
NODE_205_length_4396_cov_33.379662	4476
NODE_143_length_4160_cov_26.429567	4240
NODE_78_length_3861_cov_29.169645	3941
NODE_154_length_3466_cov_31.031736	3546
NODE_141_length_3297_cov_22.818623	3377
NODE_278_length_3027_cov_31.336637	3107
NODE_189_length_2985_cov_27.918259	3065
NODE_158_length_2936_cov_27.872957	3016
NODE_142_length_2824_cov_19.789660	2904
NODE_88_length_2501_cov_165.516586	2581
NODE_196_length_2453_cov_64.481041	2533
NODE_180_length_2192_cov_181.255936	2272
NODE_52_length_2046_cov_32.985825	2126
NODE_131_length_1966_cov_35.189724	2046
NODE_226_length_1913_cov_35.828018	1993
NODE_35_length_1894_cov_29.285110	1974
NODE_15_length_1596_cov_64.593361	1676
NODE_41_length_1466_cov_114.658936	1546
NODE_316_length_1364_cov_70.701614	1444
NODE_188_length_1304_cov_61.661808	1384
NODE_162_length_1263_cov_98.969910	1343
NODE_53_length_1238_cov_157.727783	1318
NODE_121_length_1187_cov_33.645325	1267
NODE_47_length_1103_cov_249.705353	1183
NODE_256_length_1061_cov_28.621113	1141
NODE_91_length_960_cov_104.197914	1040
NODE_3_length_951_cov_68.309151	1031
NODE_107_length_940_cov_68.952126	1020
NODE_16_length_911_cov_73.113060	991
NODE_17_length_866_cov_93.491920	946
NODE_117_length_848_cov_28.746462	928
NODE_326_length_801_cov_80.142319	881
NODE_157_length_768_cov_26.602865	848
NODE_160_length_768_cov_30.097656	848
NODE_198_length_768_cov_26.950521	848
NODE_140_length_762_cov_37.339893	842
NODE_133_length_749_cov_113.117493	829
NODE_253_length_736_cov_247.218750	816
NODE_199_length_726_cov_23.454546	806
NODE_164_length_723_cov_33.757954	803
NODE_31_length_721_cov_33.914009	801
NODE_99_length_721_cov_28.442442	801
NODE_233_length_714_cov_37.341736	794
NODE_23_length_655_cov_169.109924	735
NODE_174_length_648_cov_265.330261	728
NODE_136_length_647_cov_29.216383	727
NODE_208_length_603_cov_19.195688	683
NODE_113_length_597_cov_70.576218	677
NODE_159_length_587_cov_26.763203	667
NODE_221_length_567_cov_140.151672	647
NODE_156_length_535_cov_25.158878	615
NODE_123_length_508_cov_34.210629	588
NODE_151_length_507_cov_34.142014	587
NODE_83_length_506_cov_63.478260	586
NODE_201_length_488_cov_32.743851	568
NODE_318_length_445_cov_148.642700	525
NODE_213_length_438_cov_231.664383	518
NODE_115_length_416_cov_27.894230	496
NODE_114_length_414_cov_43.521740	494
NODE_224_length_414_cov_248.963776	494
NODE_74_length_414_cov_38.763287	494
NODE_7_length_361_cov_25.304708	441
NODE_84_length_360_cov_91.388885	440
NODE_202_length_355_cov_35.588734	435
NODE_149_length_354_cov_25.220339	434
NODE_240_length_350_cov_57.459999	430
NODE_266_length_323_cov_37.993809	403
NODE_243_length_322_cov_20.608696	402
NODE_345_length_318_cov_69.801888	398
NODE_343_length_316_cov_63.088608	396
NODE_276_length_314_cov_73.471336	394
NODE_268_length_312_cov_74.673080	392
NODE_293_length_308_cov_34.766235	388
NODE_197_length_307_cov_32.035831	387
NODE_332_length_303_cov_71.947197	383
NODE_144_length_299_cov_31.391304	379
NODE_167_length_299_cov_194.000000	379
NODE_245_length_298_cov_32.983223	378
NODE_299_length_294_cov_28.697279	374
NODE_126_length_291_cov_34.158077	371
NODE_193_length_291_cov_35.580757	371
NODE_63_length_273_cov_228.117218	353
NODE_173_length_272_cov_230.180145	352
NODE_280_length_259_cov_67.108109	339
NODE_303_length_252_cov_83.365082	332
NODE_192_length_248_cov_73.705643	328
NODE_138_length_238_cov_68.592438	318
NODE_190_length_238_cov_55.546219	318
NODE_148_length_237_cov_33.358650	317
NODE_271_length_229_cov_33.205238	309
NODE_72_length_224_cov_238.267853	304
NODE_301_length_215_cov_47.953487	295
NODE_163_length_211_cov_41.521328	291
NODE_129_length_202_cov_17.485149	282
NODE_106_length_200_cov_42.939999	280
NODE_172_length_184_cov_69.625000	264
NODE_178_length_181_cov_66.182320	261
NODE_116_length_178_cov_69.646065	258
NODE_171_length_172_cov_223.011627	252
NODE_147_length_168_cov_68.321426	248
NODE_334_length_168_cov_68.940475	248
NODE_222_length_167_cov_114.598801	247
NODE_270_length_167_cov_45.580837	247
NODE_21_length_162_cov_52.129631	242
NODE_182_length_158_cov_72.462029	238
NODE_104_length_153_cov_67.483658	233
NODE_252_length_153_cov_54.098038	233
NODE_260_length_153_cov_159.816986	233
NODE_57_length_152_cov_25.098684	232
NODE_82_length_152_cov_18.947369	232
NODE_349_length_148_cov_243.925674	228
NODE_150_length_147_cov_41.619049	227
NODE_168_length_147_cov_220.619049	227
NODE_177_length_147_cov_110.571426	227
NODE_267_length_147_cov_26.421768	227
NODE_321_length_147_cov_57.952381	227
NODE_183_length_146_cov_44.684933	226
NODE_80_length_146_cov_224.931503	226
NODE_112_length_138_cov_32.304348	218
NODE_206_length_138_cov_30.797102	218
NODE_283_length_138_cov_34.231884	218
NODE_43_length_138_cov_52.601448	218
NODE_273_length_134_cov_66.649254	214
NODE_135_length_133_cov_69.421051	213
NODE_310_length_132_cov_40.492424	212
NODE_355_length_127_cov_65.259842	207
NODE_101_length_125_cov_71.304001	205
NODE_210_length_125_cov_23.896000	205
NODE_191_length_123_cov_116.211380	203
NODE_236_length_123_cov_47.593494	203
NODE_295_length_123_cov_36.837399	203
NODE_49_length_123_cov_431.008118	203
NODE_176_length_122_cov_216.467209	202
NODE_238_length_122_cov_26.590164	202
NODE_209_length_121_cov_20.247934	201
NODE_251_length_121_cov_189.206604	201
NODE_288_length_121_cov_96.876030	201
NODE_364_length_121_cov_41.231403	201
NODE_155_length_118_cov_30.991526	198
NODE_367_length_117_cov_190.555557	197
NODE_86_length_117_cov_59.760685	197
NODE_79_length_110_cov_69.145454	190
NODE_242_length_109_cov_22.431192	189
NODE_275_length_108_cov_76.009262	188
NODE_237_length_104_cov_79.682693	184
NODE_286_length_100_cov_190.389999	180
NODE_282_length_99_cov_60.848484	179
NODE_170_length_94_cov_78.851067	174
NODE_261_length_93_cov_36.322582	173
NODE_179_length_92_cov_44.586956	172
NODE_207_length_92_cov_34.500000	172
NODE_228_length_92_cov_44.086956	172
NODE_232_length_91_cov_218.395599	171
NODE_235_length_91_cov_35.813187	171
NODE_350_length_91_cov_22.824175	171
